16/08/2019 21:00,b'Trump says having dinner Friday with Apple CEO\xc2\xa0Cook https://t.co/S0Le9evdOx','Trump says having dinner Friday with Apple CEO\xc2\xa0Cook https://t.co/S0Le9evdOx'
16/08/2019 21:00,"b'@realDonaldTrump Offer Tim an apple, see if you can say it without crapping yourself.'","'@realDonaldTrump Offer Tim an apple, see if you can say it without crapping yourself.'"
16/08/2019 21:00,b'@RagingPachyderm @realDonaldTrump Or Tim Cook a subsidy for Apple.','@RagingPachyderm @realDonaldTrump Or Tim Cook a subsidy for Apple.'
16/08/2019 21:00,b'@realDonaldTrump Is Tim Apple gonna cook? #putzoftheunitedstates','@realDonaldTrump Is Tim Apple gonna cook? #putzoftheunitedstates'
16/08/2019 21:00,b'@Kodybankshoe Mannnnn anything but apple \xf0\x9f\xa4\xae','@Kodybankshoe Mannnnn anything but apple \xf0\x9f\xa4\xae'
16/08/2019 21:00,b'@realDonaldTrump Was Tim Apple invited???  #DumpTrump','@realDonaldTrump Was Tim Apple invited???  #DumpTrump'
16/08/2019 21:00,b'@realDonaldTrump You renamed him Tim Apple last year.','@realDonaldTrump You renamed him Tim Apple last year.'
16/08/2019 21:00,b'@realDonaldTrump Tim Apple or the CEO of Cook?','@realDonaldTrump Tim Apple or the CEO of Cook?'
16/08/2019 21:00,"b""@BKM13LA @MLBNetwork He literally shows you the photos. It's common knowledge to everyone who knows an ounce about\xe2\x80\xa6 https://t.co/0VgjzIrAGN""","""@BKM13LA @MLBNetwork He literally shows you the photos. It's common knowledge to everyone who knows an ounce about\xe2\x80\xa6 https://t.co/0VgjzIrAGN"""
17/08/2019 00:00,b'I\xe2\x80\x99m in the kitchen and I see my dog walking around with something in his mouth but with something he probably shoul\xe2\x80\xa6 https://t.co/5KCLQs84cE','I\xe2\x80\x99m in the kitchen and I see my dog walking around with something in his mouth but with something he probably shoul\xe2\x80\xa6 https://t.co/5KCLQs84cE'
17/08/2019 00:00,b'@HeatherEShields how did you do on a vegan diet during your pregnancy?  Was it easy or hard?  Hope all is well in the Big Apple.','@HeatherEShields how did you do on a vegan diet during your pregnancy?  Was it easy or hard?  Hope all is well in the Big Apple.'
17/08/2019 00:00,b'I know @Apple has a lot of detractors but the incredible customer service at the Apple Store is one of the many rea\xe2\x80\xa6 https://t.co/4IzQPn7VJt','I know @Apple has a lot of detractors but the incredible customer service at the Apple Store is one of the many rea\xe2\x80\xa6 https://t.co/4IzQPn7VJt'
17/08/2019 00:00,b'@AnakCreates I\xe2\x80\x99m not sure. I got an email with an invite but I\xe2\x80\x99m sure you can just find the page on apple\xe2\x80\x99s website\xe2\x80\xa6 https://t.co/85B0DHY8yS','@AnakCreates I\xe2\x80\x99m not sure. I got an email with an invite but I\xe2\x80\x99m sure you can just find the page on apple\xe2\x80\x99s website\xe2\x80\xa6 https://t.co/85B0DHY8yS'
17/08/2019 00:00,b'@cinventeach Is this one on Apple Music yet ?','@cinventeach Is this one on Apple Music yet ?'
17/08/2019 00:00,b'@realDonaldTrump Oh that Tim Apple.  He\xe2\x80\x99s cooking?','@realDonaldTrump Oh that Tim Apple.  He\xe2\x80\x99s cooking?'
17/08/2019 00:00,b'@kweags Yes love me some apple juice','@kweags Yes love me some apple juice'
17/08/2019 00:00,b'I finished watching euphoria yesterday and fez is my bab7y..... my fucking cinnamon apple....::::..','I finished watching euphoria yesterday and fez is my bab7y..... my fucking cinnamon apple....::::..'
17/08/2019 00:00,b'@rinkara the bread has glasses! the apple has glasses! he added sparkles around his own glasses! i love a man !!!','@rinkara the bread has glasses! the apple has glasses! he added sparkles around his own glasses! i love a man !!!'
17/08/2019 00:00,b'apple juice falling from her lips\ntook a lil sip','apple juice falling from her lips\ntook a lil sip'
17/08/2019 00:00,b'Anyone else terrified and awed by iPhones these days?  My Apple wallet knew my new debit card number before I did.\xe2\x80\xa6 https://t.co/hb1XU2whHL','Anyone else terrified and awed by iPhones these days?  My Apple wallet knew my new debit card number before I did.\xe2\x80\xa6 https://t.co/hb1XU2whHL'
17/08/2019 00:00,b'@lionwastaken2 Originally they did this really scummy thing with it where it was called apple Music but when you op\xe2\x80\xa6 https://t.co/6YPifPPq25','@lionwastaken2 Originally they did this really scummy thing with it where it was called apple Music but when you op\xe2\x80\xa6 https://t.co/6YPifPPq25'
17/08/2019 00:00,b'@Eva47611575 This week.  Only Apple surprised me and came out with it earlier.','@Eva47611575 This week.  Only Apple surprised me and came out with it earlier.'
17/08/2019 00:00,b'@ChiILGay Yes available on Apple Music and Spotify','@ChiILGay Yes available on Apple Music and Spotify'
